area,time,OBS,EXP,pop,type,Average_cloud_volume,rain_fall,Average_temperature_(Celsius),wind_speed,Average_maximum_relative_humidity
Prachuap Khiri Khan,5,40,28.00580005,512568,1,3.666666667,10.13333333,27.03333333,2,87.66666667
Ranong,5,6,10.045181,183849,1,5,39.9,27,2,92
Ratchaburi,5,53,46.04274868,842684,1,1,4.1,26.8,2.5,92
Rayong,5,76,34.84475601,637736,1,6,115.95,27.1,0.85,88
Roi Et,5,52,71.30603822,1305058,1,4,1.2,24.2,3.65,91
Sa Kaeo,5,56,29.81039098,545596,1,3.5,38.4,22.3,1.25,89.5
Sakon Nakhon,5,2,61.37789228,1123351,1,1.5,14.9,22.4,0.9,89.5
Samut Prakan,5,71,65.7419557,1203223,1,6,60.05,26.9,6,80
Samut Sakhon,5,44,27.26982331,499098,1,6,60.05,0,0,0
Samut Songkhram,5,44,10.60451239,194086,1,0,0,0,0,0
Saraburi,5,35,33.9004984,620454,1,5,0,0,0,85
Satun,5,27,16.47161844,301467,1,5,4.2,27.9,1.6,90
Si Sa Ket,5,203,79.34577821,1452203,1,2,0,25.9,1.4,87
Sing Buri,5,0,11.6700122,213587,1,4,0,0,0,85
Songkhla,5,31,74.69098485,1367010,1,5.25,3.525,27.15,2.675,92.75
Sukhothai,5,50,32.86510424,601504,1,4,0,24.4,0.65,95.5
Suphan Buri,5,51,46.17218661,845053,1,3,2.15,26.95,1,92.5
Surat Thani,5,30,55.29736936,1012064,1,5.5,64.95,26.825,1.95,95.25
Surin,5,141,75.4225359,1380399,1,2.666666667,29.16666667,24.8,2.266666667,89.66666667
Tak,5,48,29.01387509,531018,1,1.8,2.18,21.58,1.02,90.4
Trang,5,7,34.24220579,626708,1,5,83.7,28.1,2.8,90
Trat,5,72,12.13039379,222013,1,3,2.6,27.8,1.9,96
Ubon Ratchathani,5,73,99.22611091,1816057,1,6,13.15,25.2,2.85,86.5
Udon Thani,5,3,84.58580148,1548107,1,3,23.1,23.8,3.4,86
Uthai Thani,5,8,17.92319187,328034,1,0,0,0,0,0
Uttaradit,5,23,25.19040216,461040,1,2,0,25.3,0.1,86
Yala,5,14,26.97854699,493767,1,6,15.7,27.1,2,97
Yasothon,5,11,29.4419655,538853,1,1.5,13.15,0,0,88
Amnat Charoen,6,40,31.00457572,372241,1,6,13.15,0,0,88
Ang Thong,6,48,23.65991598,284061,1,5,21.5,0,0,88
Bangkok Metropolis,6,416,472.6671686,5674843,1,5.75,30.26,21.175,1.4,63.75
Bueng Kan,6,5,33.95251791,407634,1,1,0,0,0,75
Buri Ram,6,116,129.8587983,1559085,1,3.5,2.85,24.95,1.75,90.5
Chachoengsao,6,105,56.58586402,679370,1,6,30,25.6,1,92
Chai Nat,6,30,27.75744984,333256,1,4,0.6,26.6,0.4,89
Chaiyaphum,6,62,93.90494806,1127423,1,5,4.8,26.5,2.6,84
Chanthaburi,6,92,43.04971775,516855,1,4.5,30.85,27,1.7,89.5
Chiang Mai,6,65,137.1100881,1646144,1,1.5,0.45,19.55,2.05,80
Chiang Rai,6,63,99.83806382,1198656,1,0,0,20.35,0.7,96
Chon Buri,6,93,111.4988981,1338656,1,4.8,53.76,27.32,3.36,88
Chumphon,6,31,40.99466229,492182,1,5,12.4,26.45,1.4,95.5
Kalasin,6,0,81.76368745,981655,1,2,5.7,23.6,5.5,88
Kamphaeng Phet,6,143,60.47050436,726009,1,3,0.8,24.6,0.6,90
Kanchanaburi,6,62,69.87455072,838914,1,2.5,36.8,26.55,0.45,88.5
Khon Kaen,6,113,147.0985921,1766066,1,3.5,1.3,24.05,1.8,89
Krabi,6,32,36.48500123,438039,1,4.5,0.6,26.95,3.4,92
Lampang,6,36,63.09627436,757534,1,2,1.7,22.13333333,0.633333333,94.66666667
Lamphun,6,15,33.64583797,403952,1,1,0.6,21.8,0.4,95
Loei,6,43,52.05063241,624920,1,2,17.7,23.15,1.45,92
Lop Buri,6,73,62.97908297,756127,1,4,2.2,27.4,1.7,84
Mae Hong Son,6,25,20.32716626,244048,1,1,0,21.15,0.25,96
Maha Sarakham,6,21,78.2721838,939736,1,3,63.1,24,2.4,88
Mukdahan,6,19,28.36756135,340581,1,1,11.4,23.9,1.9,87
Nakhon Nayok,6,36,21.1420087,253831,1,0,0,0,0,0
Nakhon Pathom,6,24,72.13591965,866064,1,2,0.1,27.5,1.1,96
Nakhon Phanom,6,29,58.70130593,704768,1,3,3.55,22.65,1.95,90.5
Nakhon Ratchasima,6,112,215.336045,2585325,1,4.666666667,30.63333333,25.16666667,3.633333333,88.33333333
Nakhon Sawan,6,300,89.26252008,1071686,1,4,16.6,26.8,1.1,87.5
Nakhon Si Thammarat,6,33,127.109007,1526071,1,5.666666667,34.3,27.06666667,1.466666667,96.66666667
Nan,6,5,39.69781094,476612,1,1.5,9.75,20.925,0.15,94.75
Narathiwat,6,16,62.24986438,747372,1,6,18.2,26.4,2,94
Nong Bua Lam Phu,6,13,41.85831365,502551,1,2,0,0,0,87
Nong Khai,6,29,42.46792541,509870,1,3,0,24.4,2.9,87
Nonthaburi,6,97,93.5054812,1122627,1,6,75.1,0,0,0
Pathum Thani,6,56,84.19938585,1010898,1,6,75.1,27.4,2.5,88
Pattani,6,4,55.26277579,663485,1,6,4.5,27.2,0.4,95
Phangnga,6,7,21.23362954,254931,1,4,36.7,27.5,1.4,85.5
Phatthalung,6,17,42.56729238,511063,1,5,59.2,27.5,1,95
Phayao,6,35,40.51906684,486472,1,6,22,27.1,1.5,95
Phetchabun,6,139,82.52597284,990807,1,2,0,21.3,1.1,96
Phetchaburi,6,169,38.82049975,466079,1,2.666666667,29.93333333,25.56666667,0.6,85.66666667
Phichit,6,202,45.78443325,549688,1,5,0,26.4,4.4,87
Phitsanulok,6,153,70.91094901,851357,1,3,0,23.4,0.5,95
Phra Nakhon Si Ayutthaya,6,23,65.60493626,787653,1,4,21.5,24.5,2.1,89
Phrae,6,17,38.21005508,458750,1,5,21.5,27.3,3.7,86
Phuket,6,5,29.47250868,353847,1,6,0.2,22.5,0.7,94
Prachin Buri,6,157,39.1181009,469652,1,4.5,16.75,28.35,2.85,91
Prachuap Khiri Khan,6,78,42.69264634,512568,1,3.666666667,10.13333333,27.03333333,2,87.66666667
Ranong,6,3,15.31309082,183849,1,5,39.9,27,2,92
Ratchaburi,6,99,70.18856033,842684,1,1,4.1,26.8,2.5,92
Rayong,6,94,53.11809849,637736,1,6,115.95,27.1,0.85,88
Roi Et,6,156,108.7004644,1305058,1,4,1.2,24.2,3.65,91
Sa Kaeo,6,66,45.44360373,545596,1,3.5,38.4,22.3,1.25,89.5
Sakon Nakhon,6,22,93.56578437,1123351,1,1.5,14.9,22.4,0.9,89.5
Samut Prakan,6,114,100.2184569,1203223,1,6,60.05,26.9,6,80
Samut Sakhon,6,36,41.57070751,499098,1,6,60.05,0,0,0
Samut Songkhram,6,42,16.16574768,194086,1,0,0,0,0,0
Saraburi,6,43,51.6786518,620454,1,5,0,0,0,85
Satun,6,29,25.10969084,301467,1,5,4.2,27.9,1.6,90
Si Sa Ket,6,273,120.9564177,1452203,1,2,0,25.9,1.4,87
Sing Buri,6,2,17.7900186,213587,1,4,0,0,0,85
Songkhla,6,28,113.8605502,1367010,1,5.25,3.525,27.15,2.675,92.75
Sukhothai,6,73,50.10027459,601504,1,4,0,24.4,0.65,95.5
Suphan Buri,6,40,70.3858783,845053,1,3,2.15,26.95,1,92.5
Surat Thani,6,23,84.29650394,1012064,1,5.5,64.95,26.825,1.95,95.25
Surin,6,290,114.9757424,1380399,1,2.666666667,29.16666667,24.8,2.266666667,89.66666667
Tak,6,78,44.22937771,531018,1,1.8,2.18,21.58,1.02,90.4
Trang,6,7,52.19955792,626708,1,5,83.7,28.1,2.8,90
Trat,6,60,18.49183424,222013,1,3,2.6,27.8,1.9,96
Ubon Ratchathani,6,149,151.2624261,1816057,1,6,13.15,25.2,2.85,86.5
Udon Thani,6,6,128.9444223,1548107,1,3,23.1,23.8,3.4,86
Uthai Thani,6,12,27.32250072,328034,1,0,0,0,0,0
Uttaradit,6,61,38.40079301,461040,1,2,0,25.3,0.1,86
Yala,6,6,41.1266796,493767,1,6,15.7,27.1,2,97
Yasothon,6,21,44.88196797,538853,1,1.5,13.15,0,0,88
Amnat Charoen,7,39,30.22612094,372241,1,7,14.5,0,0,88
Ang Thong,7,42,23.065869,284061,1,7,68.6,0,0,88
Bangkok Metropolis,7,483,460.7995649,5674843,1,7.25,121.62,28.225,2.425,80.75
Bueng Kan,7,11,33.10004697,407634,1,3,0,0,0,75
Buri Ram,7,96,126.5983376,1559085,1,5.5,8.85,24.35,1.8,90
Chachoengsao,7,99,55.16512094,679370,1,7,93.3,25.9,0,93
Chai Nat,7,36,27.06052305,333256,1,6,77,26.1,0.7,89
Chaiyaphum,7,70,91.54720719,1127423,1,6,3,24.4,2.3,81
Chanthaburi,7,84,41.96883669,516855,1,6.5,94.65,26.55,1.75,89
Chiang Mai,7,52,133.6675638,1646144,1,4,88.35,19.75,1.85,85
Chiang Rai,7,61,97.33135583,1198656,1,4,102.75,21.75,0.65,96
Chon Buri,7,71,108.6994129,1338656,1,7,106.88,27.94,3.16,85.2
Chumphon,7,33,39.96537904,492182,1,7,537.45,26.65,1.45,94.5
Kalasin,7,0,79.71078617,981655,1,4,23.2,23.4,5.8,86
Kamphaeng Phet,7,85,58.95222676,726009,1,6,124.7,25.3,0.7,93
Kanchanaburi,7,25,68.12015878,838914,1,5.5,216.85,26.4,0.4,89.5
Khon Kaen,7,125,143.4052791,1766066,1,5,13.75,23.8,2.1,89.5
Krabi,7,33,35.56894537,438039,1,7,388.3,28.25,2.65,90.5
Lampang,7,35,61.51206961,757534,1,5.333333333,92.7,23.9,0.733333333,95.33333333
Lamphun,7,10,32.80106707,403952,1,5,73.5,22.5,0.3,96
Loei,7,56,50.74375875,624920,1,5,79.05,22.75,1.65,92
Lop Buri,7,114,61.39782063,756127,1,6.5,26.25,26.05,2.2,85
Mae Hong Son,7,27,19.81679709,244048,1,4,113.9,20.95,0.3,96.5
Maha Sarakham,7,76,76.30694628,939736,1,5,10.2,24.5,3.1,92
Mukdahan,7,15,27.65531604,340581,1,4,7.3,24,2.1,84
Nakhon Nayok,7,36,20.61118067,253831,1,0,0,0,0,0
Nakhon Pathom,7,44,70.32474985,866064,1,6,53.8,25.4,1,96
Nakhon Phanom,7,35,57.2274489,704768,1,5,20.5,22.15,2.3,86
Nakhon Ratchasima,7,144,209.9294439,2585325,1,6.333333333,22.66666667,25.06666667,3,87
Nakhon Sawan,7,242,87.02134007,1071686,1,5.5,74.1,26.15,1.3,85.5
Nakhon Si Thammarat,7,22,123.9175873,1526071,1,6.666666667,1107.433333,26.66666667,1.333333333,97
Nan,7,5,38.70108869,476612,1,4.75,79.05,22.675,0.175,95
Narathiwat,7,13,60.68691106,747372,1,7,764.6,17.4,1.5,93
Nong Bua Lam Phu,7,10,40.80734606,502551,1,3,0,0,0,87
Nong Khai,7,18,41.40165185,509870,1,5,61.8,23.1,2.3,88
Nonthaburi,7,107,91.15777004,1122627,1,8,145.8,0,0,0
Pathum Thani,7,68,82.08532969,1010898,1,8,145.8,27.5,2.3,89
Pattani,7,4,53.87525247,663485,1,7,213.1,27.4,0.7,95
Phangnga,7,20,20.70050112,254931,1,6,105.45,27.1,0.95,88
Phatthalung,7,24,41.49852393,511063,1,7,561.3,28,1.5,94
Phayao,7,18,39.50172471,486472,1,7,855.8,27.3,1.9,94
Phetchabun,7,89,80.4539323,990807,1,5,68,22.7,1,95
Phetchaburi,7,148,37.8458048,466079,1,5,75.13333333,25.66666667,0.366666667,85.66666667
Phichit,7,227,44.63488968,549688,1,7,160.1,26,6.8,86
Phitsanulok,7,116,69.13053545,851357,1,6,101.3,25,0.5,96
Phra Nakhon Si Ayutthaya,7,16,63.95774468,787653,1,6,110.4,25.4,1.7,92
Phrae,7,16,37.25068701,458750,1,7,68.6,25.9,3.3,90
Phuket,7,5,28.73252064,353847,1,8,90.9,24.2,0.6,94
Prachin Buri,7,80,38.13593385,469652,1,6.5,462.3,28.65,3.3,88.5
Prachuap Khiri Khan,7,62,41.62073055,512568,1,6.333333333,94.5,26.93333333,1.933333333,87.33333333
Ranong,7,3,14.92861375,183849,1,7,393.3,27.2,2.2,89
Ratchaburi,7,92,68.42628432,842684,1,5,50.2,26.3,2.4,92
Rayong,7,100,51.78442317,637736,1,7,124.45,27,0.95,89
Roi Et,7,174,105.9712416,1305058,1,5.5,34.75,23.7,3.3,87
Sa Kaeo,7,101,44.30261761,545596,1,5.5,47.45,26.5,1.65,88
Sakon Nakhon,7,10,91.21655913,1123351,1,4,21.1,22.35,1.4,88.5
Samut Prakan,7,103,97.70219809,1203223,1,7.5,34.8,27.03333333,5.333333333,81.33333333
Samut Sakhon,7,62,40.52696106,499098,1,7.5,34.8,0,0,0
Samut Songkhram,7,60,15.75986232,194086,1,0,0,0,0,0
Saraburi,7,51,50.38111773,620454,1,7,0,0,0,85
Satun,7,17,24.47924329,301467,1,7,409.1,28.3,2.2,86
Si Sa Ket,7,290,117.9194756,1452203,1,4,22.8,24.7,1.3,88
Sing Buri,7,4,17.34335147,213587,1,6.5,0,0,0,85
Songkhla,7,29,111.0017693,1367010,1,6.75,303.8,27.375,2.85,90.25
Sukhothai,7,54,48.84237,601504,1,6,118,24.8,0.65,95.5
Suphan Buri,7,80,68.61864808,845053,1,6,86.3,26.15,1,93.5
Surat Thani,7,14,82.18000936,1012064,1,6.5,964.875,27.225,2.125,94
Surin,7,338,112.0889615,1380399,1,5,12.53333333,22.66666667,1.333333333,89.33333333
Tak,7,52,43.11887807,531018,1,6,167.22,22.58,0.96,93
Trang,7,6,50.88894508,626708,1,7,235.6,27.4,2.8,89
Trat,7,45,18.0275461,222013,1,7,448.7,27.7,2.7,94
Ubon Ratchathani,7,98,147.4645687,1816057,1,7,14.5,24.65,2.25,88
Udon Thani,7,8,125.7069195,1548107,1,5,42.5,23.1,1.9,86
Uthai Thani,7,16,26.63649452,328034,1,0,0,0,0,0
Uttaradit,7,26,37.43663594,461040,1,6,160.7,25.8,0.2,87
Yala,7,8,40.09408168,493767,1,7,246,27,2.4,96
Yasothon,7,15,43.75508326,538853,1,0.5,14.5,0,0,88
Amnat Charoen,8,14,25.28235217,372241,1,7,14.5,0,0,88
Ang Thong,8,27,19.29322734,284061,1,7,68.6,0,0,88
Bangkok Metropolis,8,414,385.4314254,5674843,1,7.25,121.62,28.225,2.425,80.75
Bueng Kan,8,5,27.68622034,407634,1,3,0,0,0,75
Buri Ram,8,123,105.8919787,1559085,1,5.5,8.85,24.35,1.8,90
Chachoengsao,8,69,46.14234218,679370,1,7,93.3,25.9,0,93
Chai Nat,8,18,22.63451784,333256,1,6,77,26.1,0.7,89
Chaiyaphum,8,62,76.57379314,1127423,1,6,3,24.4,2.3,81
Chanthaburi,8,67,35.10443538,516855,1,6.5,94.65,26.55,1.75,89
Chiang Mai,8,51,111.804966,1646144,1,4,88.35,19.75,1.85,85
Chiang Rai,8,66,81.4118894,1198656,1,4,102.75,21.75,0.65,96
Chon Buri,8,56,90.92059291,1338656,1,7,106.88,27.94,3.16,85.2
Chumphon,8,10,33.42866223,492182,1,7,537.45,26.65,1.45,94.5
Kalasin,8,0,66.67333104,981655,1,4,23.2,23.4,5.8,86
Kamphaeng Phet,8,76,49.31003091,726009,1,6,124.7,25.3,0.7,93
Kanchanaburi,8,19,56.9784607,838914,1,5.5,216.85,26.4,0.4,89.5
Khon Kaen,8,92,119.9499855,1766066,1,5,13.75,23.8,2.1,89.5
Krabi,8,27,29.75130698,438039,1,7,388.3,28.25,2.65,90.5
Lampang,8,20,51.45118719,757534,1,5.333333333,92.7,23.9,0.733333333,95.33333333
Lamphun,8,7,27.43614144,403952,1,5,73.5,22.5,0.3,96
Loei,8,15,42.4441357,624920,1,5,79.05,22.75,1.65,92
Lop Buri,8,94,51.35562472,756127,1,6.5,26.25,26.05,2.2,85
Mae Hong Son,8,6,16.57557196,244048,1,4,113.9,20.95,0.3,96.5
Maha Sarakham,8,61,63.82622145,939736,1,5,10.2,24.5,3.1,92
Mukdahan,8,7,23.13202679,340581,1,4,7.3,24,2.1,84
Nakhon Nayok,8,37,17.24002658,253831,1,0,0,0,0,0
Nakhon Pathom,8,44,58.82246999,866064,1,6,53.8,25.4,1,96
Nakhon Phanom,8,15,47.86735683,704768,1,5,20.5,22.15,2.3,86
Nakhon Ratchasima,8,186,175.5934922,2585325,1,6.333333333,22.66666667,25.06666667,3,87
Nakhon Sawan,8,152,72.78817451,1071686,1,5.5,74.1,26.15,1.3,85.5
Nakhon Si Thammarat,8,28,103.6496905,1526071,1,6.666666667,1107.433333,26.66666667,1.333333333,97
Nan,8,2,32.37115856,476612,1,4.75,79.05,22.675,0.175,95
Narathiwat,8,15,50.76099115,747372,1,7,764.6,17.4,1.5,93
Nong Bua Lam Phu,8,3,34.13291756,502551,1,3,0,0,0,87
Nong Khai,8,24,34.630019,509870,1,5,61.8,23.1,2.3,88
Nonthaburi,8,95,76.24805212,1122627,1,8,145.8,0,0,0
Pathum Thani,8,31,68.65949545,1010898,1,8,145.8,27.5,2.3,89
Pattani,8,1,45.06344392,663485,1,7,213.1,27.4,0.7,95
Phangnga,8,29,17.31473782,254931,1,6,105.45,27.1,0.95,88
Phatthalung,8,26,34.71104673,511063,1,7,561.3,28,1.5,94
Phayao,8,8,33.04084296,486472,1,7,855.8,27.3,1.9,94
Phetchabun,8,56,67.29492857,990807,1,5,68,22.7,1,95
Phetchaburi,8,173,31.65576446,466079,1,5,75.13333333,25.66666667,0.366666667,85.66666667
Phichit,8,176,37.33443011,549688,1,7,160.1,26,6.8,86
Phitsanulok,8,73,57.82358068,851357,1,6,101.3,25,0.5,96
Phra Nakhon Si Ayutthaya,8,18,53.49684891,787653,1,6,110.4,25.4,1.7,92
Phrae,8,10,31.15798383,458750,1,7,68.6,25.9,3.3,90
Phuket,8,5,24.03304437,353847,1,8,90.9,24.2,0.6,94
Prachin Buri,8,65,31.89844015,469652,1,6.5,462.3,28.65,3.3,88.5
Prachuap Khiri Khan,8,53,34.8132653,512568,1,6.333333333,94.5,26.93333333,1.933333333,87.33333333
Ranong,8,6,12.48689737,183849,1,7,393.3,27.2,2.2,89
Ratchaburi,8,168,57.2345165,842684,1,5,50.2,26.3,2.4,92
Rayong,8,88,43.31458959,637736,1,7,124.45,27,0.95,89
Roi Et,8,149,88.63863991,1305058,1,5.5,34.75,23.7,3.3,87
Sa Kaeo,8,58,37.05650429,545596,1,5.5,47.45,26.5,1.65,88
Sakon Nakhon,8,15,76.2972257,1123351,1,4,21.1,22.35,1.4,88.5
Samut Prakan,8,80,81.7220769,1203223,1,7.5,34.8,27.03333333,5.333333333,81.33333333
Samut Sakhon,8,58,33.89839218,499098,1,7.5,34.8,0,0,0
Samut Songkhram,8,44,13.18218736,194086,1,0,0,0,0,0
Saraburi,8,20,42.14080806,620454,1,7,0,0,0,85
Satun,8,13,20.47543087,301467,1,7,409.1,28.3,2.2,86
Si Sa Ket,8,253,98.6326269,1452203,1,4,22.8,24.7,1.3,88
Sing Buri,8,1,14.50668184,213587,1,6.5,0,0,0,85
Songkhla,8,26,92.84637705,1367010,1,6.75,303.8,27.375,2.85,90.25
Sukhothai,8,30,40.85373712,601504,1,6,118,24.8,0.65,95.5
Suphan Buri,8,60,57.39541735,845053,1,6,86.3,26.15,1,93.5
Surat Thani,8,28,68.73868936,1012064,1,6.5,964.875,27.225,2.125,94
Surin,8,262,93.75574871,1380399,1,5,12.53333333,22.66666667,1.333333333,89.33333333
Tak,8,37,36.06637658,531018,1,6,167.22,22.58,0.96,93
Trang,8,5,42.56557543,626708,1,7,235.6,27.4,2.8,89
Trat,8,22,15.07896995,222013,1,7,448.7,27.7,2.7,94
Ubon Ratchathani,8,106,123.3453398,1816057,1,7,14.5,24.65,2.25,88
Udon Thani,8,12,105.1463605,1548107,1,5,42.5,23.1,1.9,86
Uthai Thani,8,9,22.2798432,328034,1,0,0,0,0,0
Uttaradit,8,31,31.31351905,461040,1,6,160.7,25.8,0.2,87
Yala,8,8,33.53631433,493767,1,7,246,27,2.4,96
Yasothon,8,32,36.59852438,538853,1,0.5,14.5,0,0,88
Amnat Charoen,9,10,15.92346675,372241,1,7,14.5,0,0,88
Ang Thong,9,9,12.15136401,284061,1,7,68.6,0,0,88
Bangkok Metropolis,9,279,242.7544892,5674843,1,7.25,121.62,28.225,2.425,80.75
Bueng Kan,9,8,17.4374839,407634,1,3,0,0,0,75
Buri Ram,9,68,66.6934544,1559085,1,5.5,8.85,24.35,1.8,90
Chachoengsao,9,70,29.06161763,679370,1,7,93.3,25.9,0,93
Chai Nat,9,21,14.25579352,333256,1,6,77,26.1,0.7,89
Chaiyaphum,9,40,48.22811741,1127423,1,6,3,24.4,2.3,81
Chanthaburi,9,37,22.10966392,516855,1,6.5,94.65,26.55,1.75,89
Chiang Mai,9,29,70.41760379,1646144,1,4,88.35,19.75,1.85,85
Chiang Rai,9,44,51.27527317,1198656,1,4,102.75,21.75,0.65,96
Chon Buri,9,51,57.26409586,1338656,1,7,106.88,27.94,3.16,85.2
Chumphon,9,5,21.05421948,492182,1,7,537.45,26.65,1.45,94.5
Kalasin,9,0,41.99255524,981655,1,4,23.2,23.4,5.8,86
Kamphaeng Phet,9,35,31.05670835,726009,1,6,124.7,25.3,0.7,93
Kanchanaburi,9,20,35.88647996,838914,1,5.5,216.85,26.4,0.4,89.5
Khon Kaen,9,60,75.54754374,1766066,1,5,13.75,23.8,2.1,89.5
Krabi,9,23,18.73812786,438039,1,7,388.3,28.25,2.65,90.5
Lampang,9,10,32.40526289,757534,1,5.333333333,92.7,23.9,0.733333333,95.33333333
Lamphun,9,5,17.27997787,403952,1,5,73.5,22.5,0.3,96
Loei,9,25,26.73239337,624920,1,5,79.05,22.75,1.65,92
Lop Buri,9,65,32.34507522,756127,1,6.5,26.25,26.05,2.2,85
Mae Hong Son,9,0,10.4397157,244048,1,4,113.9,20.95,0.3,96.5
Maha Sarakham,9,57,40.19937339,939736,1,5,10.2,24.5,3.1,92
Mukdahan,9,3,14.56913728,340581,1,4,7.3,24,2.1,84
Nakhon Nayok,9,12,10.85820608,253831,1,0,0,0,0,0
Nakhon Pathom,9,53,37.04788379,866064,1,6,53.8,25.4,1,96
Nakhon Phanom,9,3,30.14807562,704768,1,5,20.5,22.15,2.3,86
Nakhon Ratchasima,9,116,110.5932358,2585325,1,6.333333333,22.66666667,25.06666667,3,87
Nakhon Sawan,9,71,45.84383877,1071686,1,5.5,74.1,26.15,1.3,85.5
Nakhon Si Thammarat,9,23,65.28120446,1526071,1,6.666666667,1107.433333,26.66666667,1.333333333,97
Nan,9,3,20.38817684,476612,1,4.75,79.05,22.675,0.175,95
Narathiwat,9,11,31.97055991,747372,1,7,764.6,17.4,1.5,93
Nong Bua Lam Phu,9,1,21.49777735,502551,1,3,0,0,0,87
Nong Khai,9,7,21.81086445,509870,1,5,61.8,23.1,2.3,88
Nonthaburi,9,59,48.02295746,1122627,1,8,145.8,0,0,0
Pathum Thani,9,18,43.24349196,1010898,1,8,145.8,27.5,2.3,89
Pattani,9,6,28.38210014,663485,1,7,213.1,27.4,0.7,95
Phangnga,9,11,10.90526111,254931,1,6,105.45,27.1,0.95,88
Phatthalung,9,17,21.86189777,511063,1,7,561.3,28,1.5,94
Phayao,9,4,20.80996107,486472,1,7,855.8,27.3,1.9,94
Phetchabun,9,31,42.38405313,990807,1,5,68,22.7,1,95
Phetchaburi,9,95,19.93760349,466079,1,5,75.13333333,25.66666667,0.366666667,85.66666667
Phichit,9,69,23.51417117,549688,1,7,160.1,26,6.8,86
Phitsanulok,9,29,36.41875796,851357,1,6,101.3,25,0.5,96
Phra Nakhon Si Ayutthaya,9,14,33.69367253,787653,1,6,110.4,25.4,1.7,92
Phrae,9,8,19.62408862,458750,1,7,68.6,25.9,3.3,90
Phuket,9,3,15.136621,353847,1,8,90.9,24.2,0.6,94
Prachin Buri,9,38,20.0904468,469652,1,6.5,462.3,28.65,3.3,88.5
Prachuap Khiri Khan,9,44,21.92627761,512568,1,6.333333333,94.5,26.93333333,1.933333333,87.33333333
Ranong,9,3,7.864564727,183849,1,7,393.3,27.2,2.2,89
Ratchaburi,9,144,36.0477504,842684,1,5,50.2,26.3,2.4,92
Rayong,9,79,27.28062731,637736,1,7,124.45,27,0.95,89
Roi Et,9,61,55.82686397,1305058,1,5.5,34.75,23.7,3.3,87
Sa Kaeo,9,38,23.33912644,545596,1,5.5,47.45,26.5,1.65,88
Sakon Nakhon,9,4,48.05392823,1123351,1,4,21.1,22.35,1.4,88.5
Samut Prakan,9,44,51.47063713,1203223,1,7.5,34.8,27.03333333,5.333333333,81.33333333
Samut Sakhon,9,64,21.35006732,499098,1,7.5,34.8,0,0,0
Samut Songkhram,9,27,8.302475998,194086,1,0,0,0,0,0
Saraburi,9,17,26.54134993,620454,1,7,0,0,0,85
Satun,9,2,12.89594577,301467,1,7,409.1,28.3,2.2,86
Si Sa Ket,9,123,62.1213305,1452203,1,4,22.8,24.7,1.3,88
Sing Buri,9,0,9.13667622,213587,1,6.5,0,0,0,85
Songkhla,9,33,58.47700356,1367010,1,6.75,303.8,27.375,2.85,90.25
Sukhothai,9,17,25.73072,601504,1,6,118,24.8,0.65,95.5
Suphan Buri,9,38,36.14908983,845053,1,6,86.3,26.15,1,93.5
Surat Thani,9,17,43.2933703,1012064,1,6.5,964.875,27.225,2.125,94
Surin,9,128,59.0497489,1380399,1,5,12.53333333,22.66666667,1.333333333,89.33333333
Tak,9,26,22.71551889,531018,1,6,167.22,22.58,0.96,93
Trang,9,9,26.8088792,626708,1,7,235.6,27.4,2.8,89
Trat,9,29,9.497117791,222013,1,7,448.7,27.7,2.7,94
Ubon Ratchathani,9,68,77.68602399,1816057,1,7,14.5,24.65,2.25,88
Udon Thani,9,8,66.22384515,1548107,1,5,42.5,23.1,1.9,86
Uthai Thani,9,9,14.03241043,328034,1,0,0,0,0,0
Uttaradit,9,20,19.72204865,461040,1,6,160.7,25.8,0.2,87
Yala,9,2,21.12202151,493767,1,7,246,27,2.4,96
Yasothon,9,11,23.05067907,538853,1,0.5,14.5,0,0,88
Amnat Charoen,10,2,9.852681361,372241,1,7,92.05,0,0,88
Ang Thong,10,21,7.518684186,284061,1,6,17.9,0,0,88
Bangkok Metropolis,10,221,150.2048937,5674843,1,7,111.62,25.05,2.65,76.5
Bueng Kan,10,3,10.78948293,407634,1,4,0,0,0,75
Buri Ram,10,12,41.26672698,1559085,1,5.5,93.15,21.95,1.85,90
Chachoengsao,10,40,17.98194217,679370,1,7,181,22.6,1.9,90
Chai Nat,10,20,8.820804746,333256,1,5,70.1,22.1,1.4,90
Chaiyaphum,10,33,29.84125762,1127423,1,6,158.9,21.5,2.5,80
Chanthaburi,10,29,13.68040497,516855,1,6,200,24.5,2.8,84
Chiang Mai,10,11,43.57105291,1646144,1,4.5,126.15,17.9,2.5,86.5
Chiang Rai,10,11,31.72669219,1198656,1,5,94,18.3,0.85,97
Chon Buri,10,33,35.43228989,1338656,1,6,110.4,19.8,3.74,80
Chumphon,10,10,13.02734631,492182,1,5.5,42.05,24.15,2.2,93
Kalasin,10,0,25.9829893,981655,1,4,42.1,21.3,5,89
Kamphaeng Phet,10,20,19.21640911,726009,1,5,47,22.1,0.9,93
Kanchanaburi,10,16,22.2048413,838914,1,4.5,93.2,22.9,0.55,90.5
Khon Kaen,10,29,46.74521495,1766066,1,4.5,54.1,21.5,2.35,89.5
Krabi,10,21,11.59425934,438039,1,5.5,46.6,26.75,3.4,88.5
Lampang,10,7,20.0508303,757534,1,4.666666667,106.1,20.7,0.533333333,96
